schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,age_band,sex,count
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_37,csv_age_gender_long_v1,37,female,759
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_37,csv_age_gender_long_v1,37,all,1515
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_38,csv_age_gender_long_v1,38,male,761
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_38,csv_age_gender_long_v1,38,female,727
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_38,csv_age_gender_long_v1,38,all,1488
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_39,csv_age_gender_long_v1,39,male,731
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_39,csv_age_gender_long_v1,39,female,776
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_39,csv_age_gender_long_v1,39,all,1507
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_40,csv_age_gender_long_v1,40,male,797
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_40,csv_age_gender_long_v1,40,female,798
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_40,csv_age_gender_long_v1,40,all,1595
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_41,csv_age_gender_long_v1,41,male,758
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_41,csv_age_gender_long_v1,41,female,802
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_41,csv_age_gender_long_v1,41,all,1560
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_42,csv_age_gender_long_v1,42,male,722
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_42,csv_age_gender_long_v1,42,female,742
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_42,csv_age_gender_long_v1,42,all,1464
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_43,csv_age_gender_long_v1,43,male,760
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_43,csv_age_gender_long_v1,43,female,730
