schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,category,subcategory,value,unit
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_pensioner_qualified_rental,csv_household_tenure_long_v1,households,household_type,Single pensioner | Qualified Rental,820,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_pensioner_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,Single pensioner | Staff or service accom.,30,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_pensioner_registered_lodging_house,csv_household_tenure_long_v1,households,household_type,Single pensioner | Registered lodging house,20,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_pensioner_private_lodging,csv_household_tenure_long_v1,households,household_type,Single pensioner | Private lodging,30,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_pensioner_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,Single pensioner | Other non-qualified accom.,30,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_pensioners_owner_occupied,csv_household_tenure_long_v1,households,household_type,Two or more pensioners | Owner Occupied,3430,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_pensioners_social_rental,csv_household_tenure_long_v1,households,household_type,Two or more pensioners | Social Rental,330,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_pensioners_qualified_rental,csv_household_tenure_long_v1,households,household_type,Two or more pensioners | Qualified Rental,330,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_pensioners_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,Two or more pensioners | Staff or service accom.,10,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_pensioners_private_lodging,csv_household_tenure_long_v1,households,household_type,Two or more pensioners | Private lodging,10,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_pensioners_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,Two or more pensioners | Other non-qualified accom.,30,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_unrelated_persons_owner_occupied,csv_household_tenure_long_v1,households,household_type,Two or more unrelated persons | Owner Occupied,280,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_unrelated_persons_social_rental,csv_household_tenure_long_v1,households,household_type,Two or more unrelated persons | Social Rental,20,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_unrelated_persons_qualified_rental,csv_household_tenure_long_v1,households,household_type,Two or more unrelated persons | Qualified Rental,320,households
