schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,sector,size_band,count,upper_bound,censoring,unit
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Miscellaneous business activities,20-49,40,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Miscellaneous business activities,50+,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Private education health and other services,1,1300,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Private education health and other services,2-5,320,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Private education health and other services,6-9,90,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Private education health and other services,10-19,70,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Private education health and other services,20-49,70,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Private education health and other services,50+,30,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Total private sector undertakings,1,5020,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Total private sector undertakings,2-5,2020,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Total private sector undertakings,6-9,550,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Total private sector undertakings,10-19,440,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Total private sector undertakings,20-49,280,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Total private sector undertakings,50+,190,,exact,undertakings
