schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,parish,age_band,sex,count
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,60-64,male,395
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,65-69,male,336
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,70-74,male,291
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,75-79,male,211
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,80+,male,351
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_male,csv_parish_age_sex_long_v1,St Brelade,All,male,5456
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,<5,all,416
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,5-9,all,557
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,10-14,all,579
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,15-19,all,540
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,20-24,all,573
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,25-29,all,452
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,30-34,all,513
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,35-39,all,696
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,40-44,all,690
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,45-49,all,722
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,50-54,all,944
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,55-59,all,910
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,60-64,all,802
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,65-69,all,662
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,70-74,all,625
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,75-79,all,459
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,80+,all,872
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_brelade_all,csv_parish_age_sex_long_v1,St Brelade,All,all,11012
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,<5,female,255
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,5-9,female,286
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,10-14,female,291
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,15-19,female,311
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,20-24,female,246
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,25-29,female,254
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,30-34,female,270
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,35-39,female,356
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,40-44,female,368
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,45-49,female,364
1.0,census_2021_parish_age_sex_csv,532eb6d7a9a76b682ab056ba45f09f129bd768b71d45f7f7b0d587af95d8ff39,,2021-03-21,observed,csv_st_clement_female,csv_parish_age_sex_long_v1,St Clement,50-54,female,381
