schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,year,age,sex,count,reporting_status,upper_bound
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_71_col_Male,annual_estimates_observed_v1,2019,71,male,480,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_71_col_Female,annual_estimates_observed_v1,2019,71,female,510,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_71_Male_and_Female,annual_estimates_sex_sum_v1,2019,71,all,990,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_72_col_Male,annual_estimates_observed_v1,2019,72,male,500,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_72_col_Female,annual_estimates_observed_v1,2019,72,female,520,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_72_Male_and_Female,annual_estimates_sex_sum_v1,2019,72,all,1020,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_73_col_Male,annual_estimates_observed_v1,2019,73,male,440,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_73_col_Female,annual_estimates_observed_v1,2019,73,female,510,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_73_Male_and_Female,annual_estimates_sex_sum_v1,2019,73,all,950,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_74_col_Male,annual_estimates_observed_v1,2019,74,male,340,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_74_col_Female,annual_estimates_observed_v1,2019,74,female,390,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_74_Male_and_Female,annual_estimates_sex_sum_v1,2019,74,all,730,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_75_col_Male,annual_estimates_observed_v1,2019,75,male,370,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_75_col_Female,annual_estimates_observed_v1,2019,75,female,440,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_75_Male_and_Female,annual_estimates_sex_sum_v1,2019,75,all,810,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_76_col_Male,annual_estimates_observed_v1,2019,76,male,320,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_76_col_Female,annual_estimates_observed_v1,2019,76,female,380,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_76_Male_and_Female,annual_estimates_sex_sum_v1,2019,76,all,700,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_77_col_Male,annual_estimates_observed_v1,2019,77,male,260,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_77_col_Female,annual_estimates_observed_v1,2019,77,female,320,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_77_Male_and_Female,annual_estimates_sex_sum_v1,2019,77,all,580,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_78_col_Male,annual_estimates_observed_v1,2019,78,male,260,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_78_col_Female,annual_estimates_observed_v1,2019,78,female,320,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_78_Male_and_Female,annual_estimates_sex_sum_v1,2019,78,all,580,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_79_col_Male,annual_estimates_observed_v1,2019,79,male,290,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,observed,csv_row_2019_age_79_col_Female,annual_estimates_observed_v1,2019,79,female,340,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_2019_age_79_Male_and_Female,annual_estimates_sex_sum_v1,2019,79,all,630,reported,
